T 64/64 E:1.64698e+12, T:179878144, Cost:2.96255e+20 Ubuf/Buf/Bus/Mac:1.33258e+11/4.23542e+11/0/3.23155e+10 NoC(hops=89524557568, DRAM acc=9275428864) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 907809472
	word_embed_enc 1 (K:8,H:8,W:1,B:1) util:100/100 E:5.02303e+07, T:8192, Cost:4.11486e+11 Ubuf/Buf/Bus/Mac:767007/0/0/22885.2 NoC(hops=3211264, DRAM acc=524288) Buffer(max=14336, avg=14336) Buffer(max=0, avg=0) Buffer(max=4096, avg=4096) 262144/0/262144 Max NoC: 40960
	encoder1_Q 1 (H:32,K:2,W:1,B:1) util:100/100 E:1.0203e+08, T:8256, Cost:8.42358e+11 Ubuf/Buf/Bus/Mac:1.13855e+07/3.31635e+07/0/2.41592e+06 NoC(hops=4171776, DRAM acc=528384) Buffer(max=18432, avg=18432) Buffer(max=131072, avg=131072) Buffer(max=8192, avg=8192) 262144/262144/262144 Max NoC: 50176
	encoder1_K3 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.64412e+07, T:4616, Cost:1.68213e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1838592, DRAM acc=295424) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14624
	encoder1_K0 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.64412e+07, T:4616, Cost:1.68213e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1838592, DRAM acc=295424) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14624
	encoder1_K1 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.64412e+07, T:4616, Cost:1.68213e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1838592, DRAM acc=295424) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14624
	encoder1_Kt0 1 (K:8,H:8,W:1,B:1) util:100/100 E:6.27878e+06, T:1024, Cost:6.42947e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=401408, DRAM acc=65536) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 5120
	encoder1_K2 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.64412e+07, T:4616, Cost:1.68213e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1838592, DRAM acc=295424) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14624
	S 1/1 E:7.7151e+07, T:10256, Cost:7.9126e+11 Ubuf/Buf/Bus/Mac:4.13744e+06/8.99674e+06/0/627396 NoC(hops=4286848, DRAM acc=656384) Buffer(max=43008, avg=19456) Buffer(max=32768, avg=32768) Buffer(max=0, avg=0) Max NoC: 45408
		encoder1_K4 1 (H:31,W:1,B:1,K:1) util:100/100 E:3.15849e+07, T:4104, Cost:1.29625e+11 Ubuf/Buf/Bus/Mac:1.97285e+06/4.49837e+06/0/310837 NoC(hops=1614912, DRAM acc=262656) Buffer(max=18944, avg=18696.3) Buffer(max=32768, avg=32768) Buffer(max=8704, avg=8456.26) 262144/32768/32768 Max NoC: 17664
		encoder1_Kt4 1 (W:1,H:1,B:1,K:1) util:100/100 E:4.29621e+06, T:512, Cost:2.19966e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=398464, DRAM acc=32768) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 29632
		encoder1_K7 1 (H:31,W:1,B:1,K:1) util:100/100 E:3.46699e+07, T:4616, Cost:1.60036e+11 Ubuf/Buf/Bus/Mac:1.97285e+06/4.49837e+06/0/310837 NoC(hops=1814720, DRAM acc=295424) Buffer(max=18944, avg=18696.3) Buffer(max=32768, avg=32768) Buffer(max=8704, avg=8456.26) 262144/32768/32768 Max NoC: 21616
