T 64/8 E:9.67797e+11, T:280227648, Cost:2.71203e+20 Ubuf/Buf/Bus/Mac:4.15406e+10/1.86932e+11/0/9.64365e+10 NoC(hops=53058207744, DRAM acc=5762699264) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 594246144
	word_embed_enc 8 (K:2,B:4,H:8,W:1) util:100/100 E:4.01842e+08, T:65536, Cost:2.63351e+13 Ubuf/Buf/Bus/Mac:6.13606e+06/0/0/183081 NoC(hops=25690112, DRAM acc=4194304) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/2097152 Max NoC: 327680
	encoder1_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.24389e+09, T:786432, Cost:9.78232e+14 Ubuf/Buf/Bus/Mac:3.80396e+07/0/0/2.81213e+08 NoC(hops=75235328, DRAM acc=8388608) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 2097152/0/6291456 Max NoC: 1064960
	encoder1_attn_core 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.57093e+09, T:790528, Cost:1.24186e+15 Ubuf/Buf/Bus/Mac:9.64407e+07/0/0/2.82678e+08 NoC(hops=122945536, DRAM acc=8388608) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 6291456/0/2097152 Max NoC: 1228800
	encoder1_elt1 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	encoder1_feedfwd1 8 (B:4,K:4,H:4,W:1) util:100/100 E:2.12259e+09, T:165888, Cost:3.52111e+14 Ubuf/Buf/Bus/Mac:7.06929e+07/9.26531e+08/0/7.73094e+07 NoC(hops=73400320, DRAM acc=10616832) Buffer(max=141312, avg=141312) Buffer(max=262144, avg=262144) Buffer(max=131072, avg=131072) 2097152/1048576/8388608 Max NoC: 1179648
	encoder1_feedfwd2 8 (H:8,K:2,B:4,W:1) util:100/100 E:2.21522e+09, T:165888, Cost:3.67478e+14 Ubuf/Buf/Bus/Mac:9.84334e+07/9.78214e+08/0/7.73094e+07 NoC(hops=75759616, DRAM acc=10616832) Buffer(max=272384, avg=272384) Buffer(max=524288, avg=524288) Buffer(max=262144, avg=262144) 8388608/1048576/2097152 Max NoC: 655360
	encoder1_elt2 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	encoder2_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.24389e+09, T:786432, Cost:9.78232e+14 Ubuf/Buf/Bus/Mac:3.80396e+07/0/0/2.81213e+08 NoC(hops=75235328, DRAM acc=8388608) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 2097152/0/6291456 Max NoC: 1064960
	encoder2_attn_core 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.57093e+09, T:790528, Cost:1.24186e+15 Ubuf/Buf/Bus/Mac:9.64407e+07/0/0/2.82678e+08 NoC(hops=122945536, DRAM acc=8388608) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 6291456/0/2097152 Max NoC: 1228800
	T 8/2 E:3.6203e+09, T:294912, Cost:1.06767e+15 Ubuf/Buf/Bus/Mac:2.42285e+08/1.91718e+09/0/1.55351e+08 NoC(hops=117964800, DRAM acc=10747904) Buffer(max=206848, avg=206848) Buffer(max=786432, avg=786432) Buffer(max=0, avg=0) Max NoC: 1101824
		encoder2_elt1 4 (K:2,B:4,H:8,W:1) util:100/100 E:3.01856e+08, T:49152, Cost:1.48368e+13 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=19267584, DRAM acc=3145728) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 196608
		encoder2_feedfwd1 4 (B:4,K:4,H:4,W:1) util:100/100 E:6.07895e+08, T:32768, Cost:1.99195e+13 Ubuf/Buf/Bus/Mac:4.41855e+07/4.65339e+08/0/3.86547e+07 NoC(hops=9961472, DRAM acc=65536) Buffer(max=75776, avg=75776) Buffer(max=262144, avg=262144) Buffer(max=65536, avg=65536) 1048576/1048576/4194304 Max NoC: 96256
		encoder2_feedfwd2 4 (B:4,K:2,H:8,W:1) util:100/100 E:6.97421e+08, T:32768, Cost:2.28531e+13 Ubuf/Buf/Bus/Mac:6.68948e+07/4.93252e+08/0/3.86547e+07 NoC(hops=16908288, DRAM acc=65536) Buffer(max=141312, avg=141312) Buffer(max=524288, avg=524288) Buffer(max=131072, avg=131072) 4194304/1048576/1048576 Max NoC: 155648
		encoder2_elt2 4 (B:4,K:2,H:8,W:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
	encoder3_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.24389e+09, T:786432, Cost:9.78232e+14 Ubuf/Buf/Bus/Mac:3.80396e+07/0/0/2.81213e+08 NoC(hops=75235328, DRAM acc=8388608) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 2097152/0/6291456 Max NoC: 1064960
	encoder3_attn_core 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.57093e+09, T:790528, Cost:1.24186e+15 Ubuf/Buf/Bus/Mac:9.64407e+07/0/0/2.82678e+08 NoC(hops=122945536, DRAM acc=8388608) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 6291456/0/2097152 Max NoC: 1228800
	encoder3_elt1 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	encoder3_feedfwd1 8 (B:4,K:4,H:4,W:1) util:100/100 E:2.12259e+09, T:165888, Cost:3.52111e+14 Ubuf/Buf/Bus/Mac:7.06929e+07/9.26531e+08/0/7.73094e+07 NoC(hops=73400320, DRAM acc=10616832) Buffer(max=141312, avg=141312) Buffer(max=262144, avg=262144) Buffer(max=131072, avg=131072) 2097152/1048576/8388608 Max NoC: 1179648
	encoder3_feedfwd2 8 (H:8,K:2,B:4,W:1) util:100/100 E:2.21522e+09, T:165888, Cost:3.67478e+14 Ubuf/Buf/Bus/Mac:9.84334e+07/9.78214e+08/0/7.73094e+07 NoC(hops=75759616, DRAM acc=10616832) Buffer(max=272384, avg=272384) Buffer(max=524288, avg=524288) Buffer(max=262144, avg=262144) 8388608/1048576/2097152 Max NoC: 655360
	encoder3_elt2 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	encoder4_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.24389e+09, T:786432, Cost:9.78232e+14 Ubuf/Buf/Bus/Mac:3.80396e+07/0/0/2.81213e+08 NoC(hops=75235328, DRAM acc=8388608) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 2097152/0/6291456 Max NoC: 1064960
	encoder4_attn_core 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.57093e+09, T:790528, Cost:1.24186e+15 Ubuf/Buf/Bus/Mac:9.64407e+07/0/0/2.82678e+08 NoC(hops=122945536, DRAM acc=8388608) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 6291456/0/2097152 Max NoC: 1228800
	encoder4_elt1 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	encoder4_feedfwd1 8 (B:4,K:4,H:4,W:1) util:100/100 E:2.12259e+09, T:165888, Cost:3.52111e+14 Ubuf/Buf/Bus/Mac:7.06929e+07/9.26531e+08/0/7.73094e+07 NoC(hops=73400320, DRAM acc=10616832) Buffer(max=141312, avg=141312) Buffer(max=262144, avg=262144) Buffer(max=131072, avg=131072) 2097152/1048576/8388608 Max NoC: 1179648
	T 8/1 E:3.52679e+09, T:985088, Cost:3.4742e+15 Ubuf/Buf/Bus/Mac:1.46535e+08/9.78214e+08/0/3.58889e+08 NoC(hops=161218560, DRAM acc=19005440) Buffer(max=862208, avg=862208) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 1781760
		encoder4_feedfwd2 8 (H:8,K:2,B:4,W:1) util:100/100 E:2.01746e+09, T:133120, Cost:2.68564e+14 Ubuf/Buf/Bus/Mac:9.84334e+07/9.78214e+08/0/7.73094e+07 NoC(hops=62914560, DRAM acc=8519680) Buffer(max=272384, avg=272384) Buffer(max=524288, avg=524288) Buffer(max=262144, avg=262144) 8388608/1048576/2097152 Max NoC: 466944
		encoder4_elt2 8 (H:8,K:2,B:4,W:1) util:100/100 E:4.05951e+08, T:65536, Cost:2.66044e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=25690112, DRAM acc=4194304) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 327680
		encoder5_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.10338e+09, T:786432, Cost:8.67732e+14 Ubuf/Buf/Bus/Mac:3.80396e+07/0/0/2.81213e+08 NoC(hops=72613888, DRAM acc=6291456) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 2097152/0/6291456 Max NoC: 1064960
	encoder5_attn_core 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.57093e+09, T:790528, Cost:1.24186e+15 Ubuf/Buf/Bus/Mac:9.64407e+07/0/0/2.82678e+08 NoC(hops=122945536, DRAM acc=8388608) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 6291456/0/2097152 Max NoC: 1228800
	encoder5_elt1 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	encoder5_feedfwd1 8 (B:4,K:4,H:4,W:1) util:100/100 E:2.12259e+09, T:165888, Cost:3.52111e+14 Ubuf/Buf/Bus/Mac:7.06929e+07/9.26531e+08/0/7.73094e+07 NoC(hops=73400320, DRAM acc=10616832) Buffer(max=141312, avg=141312) Buffer(max=262144, avg=262144) Buffer(max=131072, avg=131072) 2097152/1048576/8388608 Max NoC: 1179648
	encoder5_feedfwd2 8 (H:8,K:2,B:4,W:1) util:100/100 E:2.21522e+09, T:165888, Cost:3.67478e+14 Ubuf/Buf/Bus/Mac:9.84334e+07/9.78214e+08/0/7.73094e+07 NoC(hops=75759616, DRAM acc=10616832) Buffer(max=272384, avg=272384) Buffer(max=524288, avg=524288) Buffer(max=262144, avg=262144) 8388608/1048576/2097152 Max NoC: 655360
	encoder5_elt2 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	encoder6_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.24389e+09, T:786432, Cost:9.78232e+14 Ubuf/Buf/Bus/Mac:3.80396e+07/0/0/2.81213e+08 NoC(hops=75235328, DRAM acc=8388608) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 2097152/0/6291456 Max NoC: 1064960
	encoder6_attn_core 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.57093e+09, T:790528, Cost:1.24186e+15 Ubuf/Buf/Bus/Mac:9.64407e+07/0/0/2.82678e+08 NoC(hops=122945536, DRAM acc=8388608) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 6291456/0/2097152 Max NoC: 1228800
	encoder6_elt1 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	encoder6_feedfwd1 8 (B:4,K:4,H:4,W:1) util:100/100 E:2.12259e+09, T:165888, Cost:3.52111e+14 Ubuf/Buf/Bus/Mac:7.06929e+07/9.26531e+08/0/7.73094e+07 NoC(hops=73400320, DRAM acc=10616832) Buffer(max=141312, avg=141312) Buffer(max=262144, avg=262144) Buffer(max=131072, avg=131072) 2097152/1048576/8388608 Max NoC: 1179648
	word_embed_dec 8 (K:2,B:4,H:8,W:1) util:100/100 E:4.01842e+08, T:65536, Cost:2.63351e+13 Ubuf/Buf/Bus/Mac:6.13606e+06/0/0/183081 NoC(hops=25690112, DRAM acc=4194304) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/2097152 Max NoC: 327680
	encoder6_feedfwd2 8 (H:8,K:2,B:4,W:1) util:100/100 E:2.21522e+09, T:165888, Cost:3.67478e+14 Ubuf/Buf/Bus/Mac:9.84334e+07/9.78214e+08/0/7.73094e+07 NoC(hops=75759616, DRAM acc=10616832) Buffer(max=272384, avg=272384) Buffer(max=524288, avg=524288) Buffer(max=262144, avg=262144) 8388608/1048576/2097152 Max NoC: 655360
	encoder6_elt2 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	decoder1_self_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.24389e+09, T:786432, Cost:9.78232e+14 Ubuf/Buf/Bus/Mac:3.80396e+07/0/0/2.81213e+08 NoC(hops=75235328, DRAM acc=8388608) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 2097152/0/6291456 Max NoC: 1064960
